Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q5TEC6|H37_HUMAN,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,H3-7,3.4306E+4,3.1477E+4,#N/A
sp|Q5TGZ0|MIC10_HUMAN,MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1,MICOS10,1.2400E+5,1.1185E+5,1.2834E+5
sp|Q86X10|RLGPB_HUMAN,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,RALGAPB,5.2696E+4,4.7932E+4,6.5522E+4
sp|Q86Y46|K2C73_HUMAN / sp|Q3SY84|K2C71_HUMAN / sp|Q14CN4|K2C72_HUMAN / sp|Q7RTS7|K2C74_HUMAN,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1
Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3
Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2
Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2",KRT73 / KRT71 / KRT72 / KRT74,9.1172E+3,1.0324E+4,7.5667E+3
sp|Q8TEB1|DCA11_HUMAN,DDB1- and CUL4-associated factor 11 OS=Homo sapiens OX=9606 GN=DCAF11 PE=1 SV=1,DCAF11,8.1408E+4,1.1957E+5,1.2588E+5
sp|Q969M1|TM40L_HUMAN,Mitochondrial import receptor subunit TOM40B OS=Homo sapiens OX=9606 GN=TOMM40L PE=1 SV=1,TOMM40L,3.5800E+4,2.8283E+4,3.3836E+4
sp|Q96EY8|MMAB_HUMAN,Corrinoid adenosyltransferase MMAB OS=Homo sapiens OX=9606 GN=MMAB PE=1 SV=1,MMAB,4.9380E+4,4.9443E+4,5.3582E+4
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,4.8636E+5,4.9295E+5,5.0847E+5
sp|Q9H115|SNAB_HUMAN,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,NAPB,6.1202E+4,5.3951E+4,4.4516E+4
sp|Q9H8J5|MANS1_HUMAN,MANSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MANSC1 PE=1 SV=1,MANSC1,3.7566E+5,3.8675E+5,3.7790E+5
sp|Q9P2E3|ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=1 SV=2,ZNFX1,3.5988E+4,1.8181E+4,2.8353E+4
sp|Q9UL26|RB22A_HUMAN,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,RAB22A,4.6742E+4,4.7974E+4,5.7070E+4
sp|Q9Y394|DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,DHRS7,1.0733E+6,1.1400E+6,1.1901E+6
tr|A0A590UJ96|A0A590UJ96_HUMAN,Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC122526780 PE=1 SV=1,LOC122526780,#N/A,3.1469E+4,2.3818E+4
sp|A5PLN9|TPC13_HUMAN,Trafficking protein particle complex subunit 13 OS=Homo sapiens OX=9606 GN=TRAPPC13 PE=1 SV=2,TRAPPC13,4.1237E+4,4.1944E+4,3.9377E+4
sp|O43237|DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,1.6537E+5,1.2654E+5,1.3833E+5
sp|O43752|STX6_HUMAN,Syntaxin-6 OS=Homo sapiens OX=9606 GN=STX6 PE=1 SV=1,STX6,2.0710E+4,1.7460E+4,2.3576E+4
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,2.6834E+9,2.6829E+9,2.7900E+9
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,1.2686E+6,1.2851E+6,1.4018E+6
sp|P08833|IBP1_HUMAN,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,IGFBP1,6.3483E+5,5.8546E+5,6.0164E+5
sp|P30085|KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,9.3247E+5,9.6049E+5,9.4314E+5
sp|P34096|RNAS4_HUMAN,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,RNASE4,1.1467E+5,1.1033E+5,1.2294E+5
sp|P50591|TNF10_HUMAN,Tumor necrosis factor ligand superfamily member 10 OS=Homo sapiens OX=9606 GN=TNFSF10 PE=1 SV=1,TNFSF10,1.6821E+4,1.2545E+4,4.6398E+3
sp|P51858|HDGF_HUMAN,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF,3.1042E+5,2.8707E+5,3.2000E+5
sp|Q15437|SC23B_HUMAN,Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2,SEC23B,3.5550E+4,4.1698E+4,2.9539E+4
sp|Q2M2I8|AAK1_HUMAN,AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3,AAK1,8.3928E+3,8.2683E+3,2.5234E+3
sp|Q86W10|CP4Z1_HUMAN,Cytochrome P450 4Z1 OS=Homo sapiens OX=9606 GN=CYP4Z1 PE=1 SV=1,CYP4Z1,7.4712E+3,#N/A,2.2565E+4
sp|Q86YL5|TDRP_HUMAN,Testis development-related protein OS=Homo sapiens OX=9606 GN=TDRP PE=1 SV=2,TDRP,2.4411E+5,2.6346E+5,2.6866E+5
sp|Q8WUY1|THEM6_HUMAN,Protein THEM6 OS=Homo sapiens OX=9606 GN=THEM6 PE=1 SV=2,THEM6,2.9262E+5,2.9688E+5,2.6304E+5
sp|Q92888|ARHG1_HUMAN,Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2,ARHGEF1,4.5101E+5,4.5770E+5,4.7265E+5
sp|Q96N67|DOCK7_HUMAN,Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4,DOCK7,5.0806E+4,5.5789E+4,5.8087E+4
sp|Q96PD5|PGRP2_HUMAN,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1,PGLYRP2,2.6185E+6,2.5199E+6,2.6047E+6
sp|Q96PP9|GBP4_HUMAN,Guanylate-binding protein 4 OS=Homo sapiens OX=9606 GN=GBP4 PE=1 SV=2,GBP4,3.2124E+4,3.2018E+4,4.3738E+4
sp|Q96RF0|SNX18_HUMAN,Sorting nexin-18 OS=Homo sapiens OX=9606 GN=SNX18 PE=1 SV=2,SNX18,1.5653E+4,1.8597E+4,1.6409E+4
sp|Q9NSY0|NRBP2_HUMAN,Nuclear receptor-binding protein 2 OS=Homo sapiens OX=9606 GN=NRBP2 PE=1 SV=2,NRBP2,8.4145E+3,5.4338E+3,#N/A
sp|Q9NXL6|SIDT1_HUMAN,SID1 transmembrane family member 1 OS=Homo sapiens OX=9606 GN=SIDT1 PE=1 SV=2,SIDT1,1.3379E+5,1.4713E+5,1.4194E+5
sp|Q9UIQ6|LCAP_HUMAN,Leucyl-cystinyl aminopeptidase OS=Homo sapiens OX=9606 GN=LNPEP PE=1 SV=3,LNPEP,4.8784E+5,4.1436E+5,6.4345E+5
sp|Q9UKG1|DP13A_HUMAN,DCC-interacting protein 13-alpha OS=Homo sapiens OX=9606 GN=APPL1 PE=1 SV=1,APPL1,5.1967E+5,4.9190E+5,4.2155E+5
sp|Q9Y6B6|SAR1B_HUMAN,Small COPII coat GTPase SAR1B OS=Homo sapiens OX=9606 GN=SAR1B PE=1 SV=1,SAR1B,2.6906E+4,2.5400E+4,2.6793E+4
sp|O00453|LST1_HUMAN,Leukocyte-specific transcript 1 protein OS=Homo sapiens OX=9606 GN=LST1 PE=1 SV=2,LST1,1.0815E+5,1.1325E+5,9.6761E+4
sp|O14727|APAF_HUMAN,Apoptotic protease-activating factor 1 OS=Homo sapiens OX=9606 GN=APAF1 PE=1 SV=2,APAF1,2.6370E+5,2.4270E+5,2.8829E+5
sp|O15371|EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,EIF3D,2.4450E+5,2.4430E+5,2.6333E+5
sp|O75955|FLOT1_HUMAN,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,FLOT1,2.9922E+6,2.8692E+6,2.7745E+6
sp|P09211|GSTP1_HUMAN,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1,3.4852E+6,3.7814E+6,3.7292E+6
sp|P09603|CSF1_HUMAN,Macrophage colony-stimulating factor 1 OS=Homo sapiens OX=9606 GN=CSF1 PE=1 SV=2,CSF1,1.4215E+6,1.4252E+6,1.4802E+6
sp|P29274|AA2AR_HUMAN,Adenosine receptor A2a OS=Homo sapiens OX=9606 GN=ADORA2A PE=1 SV=2,ADORA2A,1.0051E+4,1.1276E+4,1.2172E+4
sp|P30837|AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=4",ALDH1B1,5.8574E+4,4.9950E+4,5.1737E+4
sp|P34932|HSP74_HUMAN,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,1.7231E+6,1.7831E+6,1.8148E+6
sp|P40855|PEX19_HUMAN,Peroxisomal biogenesis factor 19 OS=Homo sapiens OX=9606 GN=PEX19 PE=1 SV=1,PEX19,4.7591E+4,1.5566E+4,1.8440E+4
sp|P43490|NAMPT_HUMAN,Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,NAMPT,4.3620E+4,3.8877E+4,5.0476E+4
sp|P53985|MOT1_HUMAN,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,SLC16A1,7.3893E+3,8.9239E+3,1.0470E+4
sp|Q01955|CO4A3_HUMAN,Collagen alpha-3(IV) chain OS=Homo sapiens OX=9606 GN=COL4A3 PE=1 SV=3,COL4A3,#N/A,#N/A,#N/A
sp|Q13242|SRSF9_HUMAN,Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,SRSF9,#N/A,#N/A,#N/A
sp|Q15042|RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP1 PE=1 SV=3,RAB3GAP1,4.3977E+5,4.6500E+5,4.9106E+5
sp|Q15276|RABE1_HUMAN,Rab GTPase-binding effector protein 1 OS=Homo sapiens OX=9606 GN=RABEP1 PE=1 SV=2,RABEP1,1.7837E+5,2.2275E+5,1.6604E+5
sp|Q15813|TBCE_HUMAN,Tubulin-specific chaperone E OS=Homo sapiens OX=9606 GN=TBCE PE=1 SV=1,TBCE,1.8449E+5,1.7336E+5,1.8261E+5
sp|Q8N4C8|MINK1_HUMAN,Misshapen-like kinase 1 OS=Homo sapiens OX=9606 GN=MINK1 PE=1 SV=2,MINK1,3.5344E+5,3.4550E+5,3.8360E+5
sp|Q96LJ7|DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1 OS=Homo sapiens OX=9606 GN=DHRS1 PE=1 SV=1,DHRS1,4.8978E+5,1.9883E+5,1.6299E+5
sp|Q9BR76|COR1B_HUMAN,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B,2.7079E+6,2.8543E+6,2.7585E+6
sp|Q9H8M1|CQ10B_HUMAN,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens OX=9606 GN=COQ10B PE=1 SV=1",COQ10B,8.6838E+3,7.8143E+3,7.3405E+3
sp|Q9H9C1|SPE39_HUMAN,Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1,VIPAS39,1.8276E+5,1.4790E+5,1.4980E+5
sp|Q9UHY1|NRBP_HUMAN,Nuclear receptor-binding protein OS=Homo sapiens OX=9606 GN=NRBP1 PE=1 SV=1,NRBP1,5.0613E+5,5.0676E+5,4.9084E+5
sp|Q9UNS2|CSN3_HUMAN,COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3,COPS3,5.0650E+4,5.3949E+4,6.4941E+4
sp|Q9Y4E6|WDR7_HUMAN,WD repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=WDR7 PE=1 SV=2,WDR7,2.6408E+4,2.9122E+4,1.5927E+4
sp|Q9Y6W3|CAN7_HUMAN,Calpain-7 OS=Homo sapiens OX=9606 GN=CAPN7 PE=1 SV=1,CAPN7,1.0680E+5,9.5384E+4,8.8330E+4
sp|O95182|NDUA7_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3,NDUFA7,1.7408E+5,1.6697E+5,1.6459E+5
sp|P04259|K2C6B_HUMAN,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",KRT6B,2.3245E+6,1.8898E+6,1.7865E+6
sp|P13224|GP1BB_HUMAN,Platelet glycoprotein Ib beta chain OS=Homo sapiens OX=9606 GN=GP1BB PE=1 SV=1,GP1BB,4.3934E+7,4.4713E+7,4.0886E+7
sp|P14618|KPYM_HUMAN,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,PKM,3.7774E+7,4.0892E+7,3.9120E+7
sp|P30419|NMT1_HUMAN,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,NMT1,9.5806E+4,1.1353E+5,1.0626E+5
sp|P46940|IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,8.2128E+4,1.0984E+5,9.7580E+4
sp|P49247|RPIA_HUMAN,Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3,RPIA,5.7090E+5,5.2124E+5,4.2591E+5
sp|P50225|ST1A1_HUMAN,Sulfotransferase 1A1 OS=Homo sapiens OX=9606 GN=SULT1A1 PE=1 SV=3,SULT1A1,4.0864E+6,4.0807E+6,4.0809E+6
sp|P50995|ANX11_HUMAN,Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1,ANXA11,1.6991E+6,1.6088E+6,1.7238E+6
sp|P60660|MYL6_HUMAN,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2,MYL6,4.2666E+7,4.1753E+7,3.8167E+7
sp|Q6UXV4|MIC27_HUMAN,MICOS complex subunit MIC27 OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1,APOOL,5.5209E+5,5.5698E+5,6.0993E+5
sp|Q8N6M0|OTU6B_HUMAN,Deubiquitinase OTUD6B OS=Homo sapiens OX=9606 GN=OTUD6B PE=1 SV=1,OTUD6B,1.4469E+5,1.1410E+5,1.3526E+5
sp|Q8TB40|ABHD4_HUMAN,(Lyso)-N-acylphosphatidylethanolamine lipase OS=Homo sapiens OX=9606 GN=ABHD4 PE=1 SV=1,ABHD4,1.4785E+5,1.3842E+5,1.5871E+5
sp|Q92905|CSN5_HUMAN,COP9 signalosome complex subunit 5 OS=Homo sapiens OX=9606 GN=COPS5 PE=1 SV=4,COPS5,1.9372E+5,1.5391E+5,1.8204E+5
sp|Q96BW5|PTER_HUMAN,N-acetyltaurine hydrolase OS=Homo sapiens OX=9606 GN=PTER PE=1 SV=1,PTER,8.7146E+4,8.9843E+4,9.2967E+4
sp|Q96CS7|PKHB2_HUMAN,Pleckstrin homology domain-containing family B member 2 OS=Homo sapiens OX=9606 GN=PLEKHB2 PE=1 SV=1,PLEKHB2,#N/A,#N/A,#N/A
sp|Q96E52|OMA1_HUMAN,"Metalloendopeptidase OMA1, mitochondrial OS=Homo sapiens OX=9606 GN=OMA1 PE=1 SV=1",OMA1,#N/A,8.5334E+3,#N/A
sp|Q99615|DNJC7_HUMAN,DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2,DNAJC7,3.8493E+4,7.4174E+4,5.7559E+4
sp|Q9H2K0|IF3M_HUMAN,"Translation initiation factor IF-3, mitochondrial OS=Homo sapiens OX=9606 GN=MTIF3 PE=1 SV=4",MTIF3,1.9137E+4,3.5031E+4,1.9582E+4
sp|Q9NR46|SHLB2_HUMAN,Endophilin-B2 OS=Homo sapiens OX=9606 GN=SH3GLB2 PE=1 SV=1,SH3GLB2,5.9595E+5,4.6133E+5,6.1495E+5
sp|Q9UH90|FBX40_HUMAN,F-box only protein 40 OS=Homo sapiens OX=9606 GN=FBXO40 PE=1 SV=2,FBXO40,6.0490E+3,3.3308E+3,6.9035E+3
sp|Q9UL25|RAB21_HUMAN,Ras-related protein Rab-21 OS=Homo sapiens OX=9606 GN=RAB21 PE=1 SV=3,RAB21,1.4263E+5,1.6342E+5,1.4765E+5
sp|O15305|PMM2_HUMAN,Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1,PMM2,1.2611E+5,1.3863E+5,1.3614E+5
sp|O43681|GET3_HUMAN,ATPase GET3 OS=Homo sapiens OX=9606 GN=GET3 PE=1 SV=2,GET3,1.1406E+6,1.1604E+6,1.2480E+6
sp|O60353|FZD6_HUMAN,Frizzled-6 OS=Homo sapiens OX=9606 GN=FZD6 PE=1 SV=2,FZD6,#N/A,1.1903E+3,2.7957E+3
sp|O75069|TMCC2_HUMAN,Transmembrane and coiled-coil domains protein 2 OS=Homo sapiens OX=9606 GN=TMCC2 PE=1 SV=3,TMCC2,5.6378E+4,5.4769E+4,4.9607E+4
sp|P09417|DHPR_HUMAN,Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2,QDPR,6.0481E+5,5.5117E+5,5.9004E+5
sp|P31949|S10AB_HUMAN,Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,S100A11,3.8152E+4,3.1925E+4,4.2885E+4
sp|P48509|CD151_HUMAN,CD151 antigen OS=Homo sapiens OX=9606 GN=CD151 PE=1 SV=3,CD151,8.9413E+5,9.2926E+5,9.3016E+5
sp|P50579|MAP2_HUMAN,Methionine aminopeptidase 2 OS=Homo sapiens OX=9606 GN=METAP2 PE=1 SV=1,METAP2,1.9113E+4,2.0269E+4,3.4827E+4
sp|P52630|STAT2_HUMAN,Signal transducer and activator of transcription 2 OS=Homo sapiens OX=9606 GN=STAT2 PE=1 SV=1,STAT2,4.5779E+4,8.2939E+4,7.2052E+4
sp|P60484|PTEN_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN OS=Homo sapiens OX=9606 GN=PTEN PE=1 SV=1",PTEN,9.0582E+3,8.4427E+3,8.5710E+3
sp|Q13526|PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1,PIN1,2.9458E+5,2.9848E+5,3.0190E+5
sp|Q14289|FAK2_HUMAN,Protein-tyrosine kinase 2-beta OS=Homo sapiens OX=9606 GN=PTK2B PE=1 SV=2,PTK2B,4.5835E+5,4.2225E+5,4.4967E+5
sp|Q15283|RASA2_HUMAN,Ras GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=RASA2 PE=1 SV=3,RASA2,6.9402E+3,5.6474E+3,4.5607E+3
sp|Q16352|AINX_HUMAN,Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2,INA,1.9047E+4,2.7770E+4,2.4924E+4
sp|Q16760|DGKD_HUMAN,Diacylglycerol kinase delta OS=Homo sapiens OX=9606 GN=DGKD PE=1 SV=4,DGKD,1.6051E+4,1.4337E+4,1.5555E+4
sp|Q5JXB2|UE2NL_HUMAN / sp|P61088|UBE2N_HUMAN,"Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens OX=9606 GN=UBE2NL PE=1 SV=1
Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1",UBE2NL / UBE2N,3.5827E+5,3.3402E+5,3.6189E+5
sp|Q86WR7|PRSR2_HUMAN,Proline and serine-rich protein 2 OS=Homo sapiens OX=9606 GN=PROSER2 PE=1 SV=2,PROSER2,7.9081E+5,7.9250E+5,8.3264E+5
sp|Q8N5M9|JAGN1_HUMAN,Protein jagunal homolog 1 OS=Homo sapiens OX=9606 GN=JAGN1 PE=1 SV=1,JAGN1,3.6973E+4,3.0610E+4,2.9965E+4
sp|Q8N6R0|EFNMT_HUMAN,eEF1A lysine and N-terminal methyltransferase OS=Homo sapiens OX=9606 GN=METTL13 PE=1 SV=1,METTL13,6.2009E+3,5.6072E+3,5.0804E+3
sp|Q9H5N1|RABE2_HUMAN,Rab GTPase-binding effector protein 2 OS=Homo sapiens OX=9606 GN=RABEP2 PE=1 SV=2,RABEP2,1.8540E+5,1.8987E+5,1.7394E+5
sp|Q9H9S0|NANOG_HUMAN / sp|Q6NSW7|NANP8_HUMAN / sp|Q8N7R0|NANG2_HUMAN,"Homeobox protein NANOG OS=Homo sapiens OX=9606 GN=NANOG PE=1 SV=2
Homeobox protein NANOGP8 OS=Homo sapiens OX=9606 GN=NANOGP8 PE=2 SV=2
Putative homeobox protein NANOG2 OS=Homo sapiens OX=9606 GN=NANOGP1 PE=5 SV=1",NANOG / NANOGP8 / NANOGP1,#N/A,1.8662E+3,#N/A
sp|Q9NSU2|TREX1_HUMAN,Three-prime repair exonuclease 1 OS=Homo sapiens OX=9606 GN=TREX1 PE=1 SV=2,TREX1,1.6399E+4,3.3659E+4,1.4440E+4
sp|Q9UII2|ATIF1_HUMAN,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",ATP5IF1,2.3229E+5,2.5325E+5,2.4880E+5
sp|A0A075B6S6|KVD30_HUMAN,Immunoglobulin kappa variable 2D-30 OS=Homo sapiens OX=9606 GN=IGKV2D-30 PE=1 SV=1,IGKV2D-30,5.5860E+6,5.7824E+6,6.1399E+6
sp|O15117|FYB1_HUMAN,FYN-binding protein 1 OS=Homo sapiens OX=9606 GN=FYB1 PE=1 SV=2,FYB1,6.9910E+6,6.8482E+6,6.9276E+6
sp|O95210|STBD1_HUMAN,Starch-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=STBD1 PE=1 SV=1,STBD1,2.6349E+4,1.3779E+4,1.4895E+4
sp|P08574|CY1_HUMAN,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3",CYC1,8.1098E+5,8.5153E+5,8.3144E+5
sp|P08754|GNAI3_HUMAN,Guanine nucleotide-binding protein G(i) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAI3 PE=1 SV=3,GNAI3,3.9170E+5,4.1094E+5,4.5270E+5
sp|P11177|ODPB_HUMAN,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",PDHB,7.3594E+5,7.6107E+5,7.9676E+5
sp|P46821|MAP1B_HUMAN,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,MAP1B,2.0122E+4,3.5908E+4,3.2245E+4
sp|P50151|GBG10_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1,GNG10,#N/A,9.4447E+3,6.6460E+3
sp|P51888|PRELP_HUMAN,Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1,PRELP,1.5797E+4,1.6831E+4,1.8198E+4
