Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|Q03426|KIME_HUMAN,Mevalonate kinase OS=Homo sapiens OX=9606 GN=MVK PE=1 SV=1,MVK,#N/A,2.6854E+3,7.6318E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15650|TRIP4_HUMAN,Activating signal cointegrator 1 OS=Homo sapiens OX=9606 GN=TRIP4 PE=1 SV=4,TRIP4,7.2189E+5,4.8334E+5,8.6510E+5,2.7374E+5,8.1941E+5,4.9746E+5,2.4781E+5,3.7322E+5,6.5074E+5,#N/A,2.3131E+5,6.4999E+5,5.5980E+4,#N/A,4.6531E+5,#N/A,#N/A,#N/A,#N/A,#N/A,7.2463E+4,#N/A,1.2129E+5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15758|AAAT_HUMAN,Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2,SLC1A5,1.6982E+4,2.8745E+4,2.3228E+4,1.3876E+4,2.2381E+4,1.8793E+4,2.9497E+3,1.1094E+4,9.0114E+3,4.8610E+3,3.6722E+3,3.4674E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q3B8N2|LEG9B_HUMAN / sp|Q6DKI2|LEG9C_HUMAN / sp|O00182|LEG9_HUMAN,"Galectin-9B OS=Homo sapiens OX=9606 GN=LGALS9B PE=1 SV=3
Galectin-9C OS=Homo sapiens OX=9606 GN=LGALS9C PE=1 SV=2
Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2",LGALS9B / LGALS9C / LGALS9,9.0278E+3,1.1675E+4,7.9479E+3,#N/A,#N/A,#N/A,#N/A,#N/A,9.2153E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q58FF8|H90B2_HUMAN,Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2,HSP90AB2P,2.7904E+6,2.6431E+6,2.6523E+6,1.9671E+6,1.9126E+6,2.1223E+6,1.5568E+6,1.0174E+6,1.3668E+6,1.0660E+6,1.0288E+6,8.6327E+5,3.5422E+5,3.6958E+5,2.8149E+5,2.4485E+5,2.1749E+5,2.5098E+5,1.8100E+5,1.9080E+5,1.8059E+5,8.7716E+4,9.6575E+4,7.7963E+4,2.3384E+4,3.1942E+4,4.1336E+4,2.6157E+4,2.0644E+4,1.7591E+4,3.2189E+4,1.8162E+4,1.9739E+4,6.9093E+3,1.2582E+4,2.3291E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5TEC6|H37_HUMAN,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,H3-7,#N/A,#N/A,#N/A,#N/A,#N/A,1.2993E+4,#N/A,#N/A,3.8139E+4,1.9165E+4,1.0798E+4,2.8939E+4,2.2318E+4,3.6188E+3,#N/A,#N/A,1.2052E+4,3.0890E+4,1.8669E+4,1.8040E+4,1.9577E+4,1.5513E+4,1.6237E+4,1.5738E+4,1.6656E+4,1.4624E+4,2.2805E+4,#N/A,2.8603E+4,#N/A,2.7879E+4,2.4708E+4,2.2297E+4,#N/A,1.0734E+4,#N/A,#N/A,1.1511E+4,#N/A,1.7711E+4,#N/A,#N/A
sp|Q5TGZ0|MIC10_HUMAN,MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1,MICOS10,1.4026E+5,9.3836E+4,9.1921E+4,8.2754E+4,6.3054E+4,6.7320E+4,5.5597E+4,4.1007E+4,3.6628E+4,2.8386E+4,4.4243E+4,2.8368E+4,1.2141E+4,#N/A,7.1044E+3,5.2034E+3,7.0471E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86X10|RLGPB_HUMAN,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,RALGAPB,2.1993E+4,3.0674E+4,5.4762E+3,6.7151E+3,6.0932E+3,8.4526E+3,2.3415E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86Y46|K2C73_HUMAN / sp|Q3SY84|K2C71_HUMAN / sp|Q14CN4|K2C72_HUMAN / sp|Q7RTS7|K2C74_HUMAN,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1
Keratin, type II cytoskeletal 71 OS=Homo sapiens OX=9606 GN=KRT71 PE=1 SV=3
Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2
Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2",KRT73 / KRT71 / KRT72 / KRT74,4.9146E+3,8.0548E+3,8.2319E+3,2.0800E+4,1.0292E+4,1.5403E+4,9.5804E+3,9.0177E+3,4.0401E+3,1.6169E+4,#N/A,6.3312E+3,1.8016E+4,2.3262E+4,3.9347E+3,9.7187E+3,#N/A,3.9208E+3,1.2356E+4,2.7297E+3,#N/A,4.1304E+3,#N/A,#N/A,3.4103E+3,#N/A,2.4792E+4,5.6305E+3,3.7545E+3,4.3368E+3,#N/A,#N/A,#N/A,1.6820E+4,#N/A,2.0144E+3,#N/A,2.1440E+4,2.0026E+4,5.5968E+3,#N/A,3.9572E+3
sp|Q8TEB1|DCA11_HUMAN,DDB1- and CUL4-associated factor 11 OS=Homo sapiens OX=9606 GN=DCAF11 PE=1 SV=1,DCAF11,7.2462E+4,5.1165E+4,6.5547E+4,3.8855E+4,4.1174E+4,4.7085E+4,4.9140E+4,2.9558E+4,1.4059E+4,1.7801E+4,1.6087E+4,2.1241E+3,#N/A,#N/A,#N/A,#N/A,8.6041E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96EY8|MMAB_HUMAN,Corrinoid adenosyltransferase MMAB OS=Homo sapiens OX=9606 GN=MMAB PE=1 SV=1,MMAB,5.5065E+4,5.6994E+4,4.0581E+4,3.3634E+4,3.8989E+4,3.1208E+4,1.7613E+4,2.2961E+4,2.3619E+4,1.0974E+4,6.8342E+3,9.4751E+3,5.8709E+3,7.5677E+3,3.5222E+3,2.9471E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H0X4|F234A_HUMAN,Protein FAM234A OS=Homo sapiens OX=9606 GN=FAM234A PE=1 SV=1,FAM234A,4.7852E+5,3.7092E+5,4.8238E+5,3.2771E+5,2.2790E+5,2.2966E+5,1.7752E+5,1.6898E+5,1.8484E+5,1.0725E+5,1.0460E+5,8.8806E+4,3.4379E+4,#N/A,1.9856E+4,1.2051E+4,3.3483E+3,7.5268E+3,1.0776E+4,6.8812E+3,4.9353E+3,#N/A,4.9616E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H115|SNAB_HUMAN,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,NAPB,5.3390E+4,5.8617E+4,3.8916E+4,3.7063E+4,4.0403E+4,2.8709E+4,1.7892E+4,2.1968E+4,2.7006E+4,1.4974E+4,1.9425E+4,6.9522E+3,2.8241E+3,#N/A,1.8092E+3,2.7542E+3,1.4666E+3,3.5236E+3,1.0900E+3,2.3107E+3,2.5275E+3,1.5460E+3,#N/A,1.8253E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H8J5|MANS1_HUMAN,MANSC domain-containing protein 1 OS=Homo sapiens OX=9606 GN=MANSC1 PE=1 SV=1,MANSC1,3.4612E+5,4.1079E+5,3.5630E+5,2.6498E+5,2.5459E+5,2.4004E+5,1.8719E+5,2.1582E+5,1.9136E+5,1.0572E+5,1.0795E+5,9.4268E+4,1.6563E+4,#N/A,2.0814E+4,2.3943E+4,2.6786E+3,1.0309E+4,7.1537E+3,5.2691E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9P2E3|ZNFX1_HUMAN,NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=1 SV=2,ZNFX1,6.6307E+3,2.0416E+4,2.1508E+4,1.8486E+4,6.5470E+3,1.2331E+3,9.4976E+3,3.2801E+3,5.1676E+3,#N/A,1.0273E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UL26|RB22A_HUMAN,Ras-related protein Rab-22A OS=Homo sapiens OX=9606 GN=RAB22A PE=1 SV=2,RAB22A,4.4466E+4,3.5873E+4,4.2765E+4,#N/A,1.5882E+4,1.4917E+4,#N/A,#N/A,#N/A,#N/A,#N/A,5.2496E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y394|DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,DHRS7,1.1579E+6,1.2288E+6,9.9088E+5,8.5518E+5,7.8928E+5,7.8749E+5,5.9812E+5,5.8600E+5,5.7295E+5,3.7510E+5,3.7010E+5,3.2127E+5,1.1438E+5,1.1420E+5,8.9965E+4,7.5052E+4,5.6854E+4,8.1742E+4,4.9942E+4,4.6718E+4,4.5240E+4,1.5380E+4,2.0805E+4,2.3819E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A5PLN9|TPC13_HUMAN,Trafficking protein particle complex subunit 13 OS=Homo sapiens OX=9606 GN=TRAPPC13 PE=1 SV=2,TRAPPC13,4.3886E+3,3.1320E+4,3.3729E+4,1.2394E+4,2.0382E+4,1.2197E+4,6.7378E+3,1.4196E+4,1.9909E+4,4.2239E+3,6.8636E+3,6.1483E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O43237|DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1LI2 PE=1 SV=1,DYNC1LI2,1.1075E+5,8.9171E+4,8.3283E+4,8.2337E+4,5.6218E+4,4.4586E+4,6.2256E+4,#N/A,5.4599E+4,#N/A,1.4769E+4,1.1898E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02679|FIBG_HUMAN,Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,2.7412E+9,2.8195E+9,2.6011E+9,2.1326E+9,1.9344E+9,1.9423E+9,1.5826E+9,1.2040E+9,1.5060E+9,1.0479E+9,9.4812E+8,9.1115E+8,3.8009E+8,3.4293E+8,3.2558E+8,2.8702E+8,2.6596E+8,2.6095E+8,2.0296E+8,1.9579E+8,1.8171E+8,1.2098E+8,1.1832E+8,1.0276E+8,4.0361E+7,3.7963E+7,3.6029E+7,3.0068E+7,2.0446E+7,2.7765E+7,2.2615E+7,1.9678E+7,1.9582E+7,1.2389E+7,1.2709E+7,1.1007E+7,4.5413E+6,4.1178E+6,3.9052E+6,2.7550E+5,5.7797E+5,9.9249E+5
sp|P05160|F13B_HUMAN,Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3,F13B,1.2245E+6,1.3751E+6,1.2295E+6,8.4809E+5,7.4981E+5,7.6623E+5,6.1100E+5,6.2137E+5,5.7100E+5,3.2235E+5,3.9399E+5,2.5569E+5,5.6160E+4,6.0711E+4,6.3749E+4,3.2273E+4,4.3409E+4,2.1564E+4,2.5525E+4,1.8687E+4,1.9626E+4,#N/A,7.5900E+3,1.0473E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P08833|IBP1_HUMAN,Insulin-like growth factor-binding protein 1 OS=Homo sapiens OX=9606 GN=IGFBP1 PE=1 SV=1,IGFBP1,6.8556E+5,6.7168E+5,6.5060E+5,4.9086E+5,2.8473E+5,4.6284E+5,4.3148E+5,6.5458E+5,3.4214E+5,1.5980E+5,3.2059E+5,1.8881E+5,7.2526E+4,5.3048E+4,6.8909E+4,1.2765E+4,3.4897E+4,4.3590E+4,5.6072E+4,#N/A,9.5664E+3,#N/A,#N/A,2.8495E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P30085|KCY_HUMAN,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,9.7786E+5,9.1088E+5,7.7861E+5,7.0989E+5,5.4937E+5,5.8755E+5,4.6787E+5,4.8195E+5,4.7472E+5,3.1445E+5,2.2454E+5,2.6953E+5,8.3871E+4,9.2004E+4,5.8500E+4,6.6809E+4,5.2462E+4,5.1883E+4,5.2477E+4,1.8128E+4,3.6216E+4,1.9342E+4,1.1273E+4,1.7101E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8713E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P34096|RNAS4_HUMAN,Ribonuclease 4 OS=Homo sapiens OX=9606 GN=RNASE4 PE=1 SV=3,RNASE4,6.2791E+4,6.3925E+4,5.7185E+4,7.2058E+4,3.2959E+4,6.9122E+4,3.7574E+4,5.0957E+4,4.1704E+4,3.1692E+3,1.0759E+4,2.1263E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
